plan_id,plan_name,description,difficulty_level,goal,equipment,training_part
1,Full Body Workout,This workout targets all major muscle groups in the body.,Beginner,Lose Weight,None,Full Body
2,Upper Body Workout,This workout targets the muscles in the upper body.,Intermediate,Build Muscle,Dumbbell,Upper Body
3,Lower Body Workout,This workout targets the muscles in the lower body.,Advanced,Increase Strength,Barbell,Lower Body
4,Core Workout,This workout targets the muscles in the core.,Beginner,Tone Muscle,None,Core
5,Cardio Workout,This workout is designed to improve cardiovascular fitness.,Intermediate,Increase Endurance,Stationary Bike,Cardio
6, 5K Training, "This plan is designed for individuals who want to train for a 5K race.",Intermediate,Run a 5K,Treadmill,Cardio
7, Bodyweight Workout, "This plan uses only bodyweight exercises to help you get in shape without any equipment.",Beginner,Increase Strength,None,Full Body
8, Pilates for Core Strength, "This plan focuses on using Pilates exercises to strengthen and tone the core muscles.",Intermediate,Tone Abs and Glutes,Yoga Mat,Core
9, Circuit Training for Weight Loss, "This plan is designed to help individuals lose weight through a combination of cardio and resistance training.",Advanced,Lose Weight,Dumbbells and Resistance Bands,Full Body
10, Stretching and Mobility, "This plan focuses on improving flexibility and mobility through a combination of stretching and mobility exercises.",Beginner,Increase Flexibility,Yoga Mat,Full Body
11, High-Intensity Cardio, "This plan is designed for individuals who want to improve cardiovascular fitness and burn fat through high-intensity cardio workouts.",Advanced,Improve Endurance,Stationary Bike,Cardio
12, Running for Weight Loss, "This plan is designed for individuals who want to lose weight through running and a healthy diet.",Intermediate,Lose Weight,Running Shoes,Cardio
13, Strength and Cardio Combo, "This plan combines strength training and cardio to help you improve overall fitness and burn fat.",Advanced,Improve Cardiovascular Fitness,Dumbbells and Treadmill,Full Body
14, Yoga for Stress Relief, "This plan uses yoga poses and breathing techniques to help you reduce stress and anxiety.",Beginner,Reduce Stress,Yoga Mat,Full Body
15, Beach Body Workout, "This plan is designed to help you get in shape for the beach by focusing on full-body strength and cardio exercises.",Beginner,Tone Muscles and Improve Cardiovascular Fitness,None,Full Body
16, Full-Body Resistance Training, "This plan uses resistance exercises to help you build strength and tone muscles throughout the body.",Intermediate,Increase Strength and Muscle Definition,Dumbbells and Resistance Bands,Full Body
17, Yoga for Flexibility, "This plan is designed to help you increase flexibility and mobility through yoga poses and stretches.",Beginner,Increase Flexibility,Yoga Mat,Full Body
18, Weightlifting for Women, "This plan is designed for women who want to build strength and tone muscles through weightlifting exercises.",Intermediate,Tone Muscles and Increase Strength,Barbell,Full Body
