plan_id,plan_name,description,difficulty_level,goal,equipment,training_part
1,Full Body Workout,"This workout targets all major muscle groups in the body.",Beginner,Lose Weight,None,Full Body
2,Upper Body Workout,"This workout targets the muscles in the upper body.",Intermediate,Build Muscle,Dumbbell,Upper Body
3,Lower Body Workout,"This workout targets the muscles in the lower body.",Advanced,Increase Strength,Barbell,Lower Body
4,Core Workout,"This workout targets the muscles in the core.",Beginner,Tone Muscle,None,Core
5,Cardio Workout,"This workout is designed to improve cardiovascular fitness.",Intermediate,Increase Endurance,Stationary Bike,Cardio
6, 5K Training, "This plan is designed for individuals who want to train for a 5K race.",Intermediate,Run a 5K,Treadmill,Cardio
7, Bodyweight Workout, "This plan uses only bodyweight exercises to help you get in shape without any equipment.",Beginner,Increase Strength,None,Full Body
8, Pilates for Core Strength, "This plan focuses on using Pilates exercises to strengthen and tone the core muscles.",Intermediate,Tone Abs and Glutes,Yoga Mat,Core
9, Circuit Training for Weight Loss, "This plan is designed to help individuals lose weight through a combination of cardio and resistance training.",Advanced,Lose Weight,Dumbbells and Resistance Bands,Full Body
10, Stretching and Mobility, "This plan focuses on improving flexibility and mobility through a combination of stretching and mobility exercises.",Beginner,Increase Flexibility,Yoga Mat,Full Body
11, Barre Workout, "This plan is based on the ballet barre and combines Pilates, yoga, and strength training.",Intermediate,Tone Muscles,Ballet Barre,Full Body
12, High-Intensity Cardio, "This plan is designed for individuals who want to improve cardiovascular fitness and burn fat through high-intensity cardio workouts.",Advanced,Improve Endurance,Stationary Bike,Cardio
13, Kettlebell Training, "This plan uses kettlebells to help you build strength, burn fat, and improve overall fitness.",Intermediate,Increase Strength and Endurance,Kettlebells,Full Body
14, Running for Weight Loss, "This plan is designed for individuals who want to lose weight through running and a healthy diet.",Intermediate,Lose Weight,Running Shoes,Cardio
15, Strength and Cardio Combo, "This plan combines strength training and cardio to help you improve overall fitness and burn fat.",Advanced,Improve Cardiovascular Fitness,Dumbbells and Treadmill,Full Body
16, Yoga for Stress Relief, "This plan uses yoga poses and breathing techniques to help you reduce stress and anxiety.",Beginner,Reduce Stress,Yoga Mat,Full Body
17, Crossfit Training, "This plan is based on the Crossfit method and includes a combination of weightlifting, cardio, and gymnastics.",Advanced,Improve Athletic Performance,Barbell,Full Body
18, TRX Suspension Training, "This plan uses TRX suspension straps to help you build strength, improve balance, and increase flexibility.",Intermediate,Increase Strength and Flexibility,TRX Suspension Straps,Full Body
19, Boxing Workout, "This plan is based on boxing and combines strength training, cardio, and coordination exercises.",Intermediate,Increase Cardiovascular Fitness,Boxing Gloves,Full Body
